"weatherID;""city"";""time"";""temp_f"";""cloud_cover"";""wind_mph"";""pressure_mb"""
"1;""Orlando"";""2024-07-14 16:09:46"";93.0;75;3.8;1020.0"
"2;""Orlando"";""2024-07-14 16:10:47"";91.3;54;2.2;1018.0"
"3;""Orlando"";""2024-07-14 16:11:47"";93.0;75;3.8;1020.0"
"4;""Orlando"";""2024-07-14 16:12:47"";93.0;75;3.8;1020.0"
"5;""Orlando"";""2024-07-14 16:13:47"";91.3;54;2.2;1018.0"
"6;""Orlando"";""2024-07-14 16:14:47"";91.3;54;2.2;1018.0"
"7;""Orlando"";""2024-07-14 16:15:47"";91.3;54;2.2;1018.0"
"8;""Orlando"";""2024-07-14 16:16:48"";91.3;54;2.2;1018.0"
"9;""Orlando"";""2024-07-14 16:17:47"";91.3;54;2.2;1018.0"
"10;""Orlando"";""2024-07-14 16:18:47"";91.3;54;2.2;1018.0"
"11;""Orlando"";""2024-07-14 16:19:52"";93.0;50;5.6;1019.0"
"12;""Orlando"";""2024-07-14 16:20:47"";93.0;50;5.6;1019.0"
"13;""Orlando"";""2024-07-14 16:21:47"";93.0;50;5.6;1019.0"
"14;""Orlando"";""2024-07-14 16:22:47"";93.0;50;5.6;1019.0"
"15;""Orlando"";""2024-07-14 16:23:47"";93.0;50;5.6;1019.0"
"16;""Orlando"";""2024-07-14 16:24:47"";93.0;50;5.6;1019.0"
"17;""Orlando"";""2024-07-14 16:25:46"";93.0;50;5.6;1019.0"
"18;""Orlando"";""2024-07-14 16:26:47"";93.0;50;5.6;1019.0"
"19;""Orlando"";""2024-07-14 16:27:46"";93.0;50;5.6;1019.0"
"20;""Orlando"";""2024-07-14 16:28:47"";93.0;50;5.6;1019.0"
"21;""Orlando"";""2024-07-14 16:29:47"";93.0;50;5.6;1019.0"
"22;""Orlando"";""2024-07-14 16:30:47"";93.0;50;5.6;1019.0"
"23;""Orlando"";""2024-07-14 16:31:48"";93.0;50;5.6;1019.0"
"24;""Orlando"";""2024-07-14 16:32:47"";93.0;50;5.6;1019.0"
"25;""Orlando"";""2024-07-14 16:33:47"";93.0;50;5.6;1019.0"
"26;""Orlando"";""2024-07-14 16:34:47"";93.0;50;5.6;1019.0"
"27;""Orlando"";""2024-07-14 16:35:47"";93.0;50;5.6;1019.0"
"28;""Orlando"";""2024-07-14 16:36:47"";93.0;50;5.6;1019.0"
"29;""Orlando"";""2024-07-14 16:37:47"";93.0;50;5.6;1019.0"
"30;""Orlando"";""2024-07-14 16:38:47"";93.0;50;5.6;1019.0"
"31;""Orlando"";""2024-07-14 16:39:47"";93.0;50;5.6;1019.0"
"32;""Orlando"";""2024-07-14 16:40:47"";93.0;50;5.6;1019.0"
"33;""Orlando"";""2024-07-14 16:41:47"";91.3;54;2.2;1018.0"
"34;""Orlando"";""2024-07-14 16:42:47"";93.0;50;5.6;1019.0"
"35;""Orlando"";""2024-07-14 16:43:48"";91.3;54;2.2;1018.0"
"36;""Orlando"";""2024-07-14 16:44:47"";93.0;50;5.6;1019.0"
"37;""Orlando"";""2024-07-14 16:45:47"";91.3;54;2.2;1018.0"
"38;""Orlando"";""2024-07-14 16:46:46"";91.3;54;2.2;1018.0"
"39;""Orlando"";""2024-07-14 16:47:46"";91.3;54;2.2;1018.0"
"40;""Orlando"";""2024-07-14 16:48:46"";91.3;54;2.2;1018.0"
"41;""Orlando"";""2024-07-14 16:49:47"";93.0;50;5.6;1019.0"
"42;""Orlando"";""2024-07-14 16:50:50"";93.0;50;5.6;1019.0"
"43;""Orlando"";""2024-07-14 16:51:46"";93.0;50;5.6;1019.0"
"44;""Orlando"";""2024-07-14 16:52:47"";93.0;50;5.6;1019.0"
"45;""Orlando"";""2024-07-14 16:53:48"";93.0;50;5.6;1019.0"
"46;""Orlando"";""2024-07-14 16:54:47"";91.3;54;2.2;1018.0"
"47;""Orlando"";""2024-07-14 16:55:47"";91.3;54;2.2;1018.0"
"48;""Orlando"";""2024-07-14 16:56:47"";91.3;54;2.2;1018.0"
"49;""Orlando"";""2024-07-14 16:57:47"";91.3;54;2.2;1018.0"
"50;""Orlando"";""2024-07-14 16:58:47"";91.3;54;2.2;1018.0"
"51;""Orlando"";""2024-07-14 16:59:47"";93.0;50;5.6;1019.0"
"52;""Orlando"";""2024-07-14 17:00:46"";93.0;50;5.6;1019.0"
"53;""Orlando"";""2024-07-14 17:01:47"";91.3;54;2.2;1018.0"
"54;""Orlando"";""2024-07-14 17:02:48"";93.0;50;5.6;1019.0"
"55;""Orlando"";""2024-07-14 17:03:47"";93.0;50;5.6;1019.0"
"56;""Orlando"";""2024-07-14 17:04:48"";93.0;50;5.6;1019.0"
"57;""Orlando"";""2024-07-14 17:05:47"";93.0;50;5.6;1019.0"
"58;""Orlando"";""2024-07-14 17:06:47"";93.0;50;5.6;1019.0"
"59;""Orlando"";""2024-07-14 17:07:48"";93.0;50;5.6;1019.0"
"60;""Orlando"";""2024-07-14 17:08:47"";93.0;50;5.6;1019.0"
"61;""Orlando"";""2024-07-14 17:09:46"";93.0;50;5.6;1019.0"
"62;""Orlando"";""2024-07-14 17:10:46"";93.0;50;5.6;1019.0"
"63;""Orlando"";""2024-07-14 17:11:47"";93.0;50;5.6;1019.0"
"64;""Orlando"";""2024-07-14 17:12:47"";93.0;50;5.6;1019.0"
"65;""Orlando"";""2024-07-14 17:13:48"";93.0;50;5.6;1019.0"
"66;""Orlando"";""2024-07-14 17:14:47"";93.0;50;5.6;1019.0"
"67;""Orlando"";""2024-07-14 17:15:47"";93.0;50;5.6;1019.0"
"68;""Orlando"";""2024-07-14 17:16:46"";93.0;50;5.6;1019.0"
"69;""Orlando"";""2024-07-14 17:17:48"";93.0;50;5.6;1019.0"
"70;""Orlando"";""2024-07-14 17:18:47"";93.0;50;5.6;1019.0"
"71;""Orlando"";""2024-07-14 17:19:47"";93.0;50;5.6;1019.0"
"72;""Orlando"";""2024-07-14 17:20:47"";78.1;100;34.9;1020.0"
"73;""Orlando"";""2024-07-14 17:21:47"";78.1;100;34.9;1020.0"
"74;""Orlando"";""2024-07-14 17:22:47"";78.1;100;34.9;1020.0"
"75;""Orlando"";""2024-07-14 17:23:47"";78.1;100;34.9;1020.0"
"76;""Orlando"";""2024-07-14 17:24:47"";78.1;100;34.9;1020.0"
"77;""Orlando"";""2024-07-14 17:25:47"";89.2;60;3.4;1018.0"
